model,replicate,auc,flip_rate,probability_mae,vector_cosine_distance,vector_euclidean_distance
logit,35,0.5548894350097775,0.25191675794085433,0.17569240907781478,0.4735027619354192,2.7446455385233213
xgb,35,0.5850730222403446,0.29244249726177435,0.1589050590991974,0.11316275596618652,0.04459497332572937
logit,36,0.5567812663392391,0.15826944140197152,0.10597347615745248,0.2546757484658715,1.3615464003691722
xgb,36,0.5990333905168435,0.21193866374589265,0.1022045761346817,0.08932065963745117,0.03830572962760925
logit,37,0.6287100404202927,0.19167579408543264,0.13514358507958,0.3514542099243336,1.477879510197342
xgb,37,0.6183300700773509,0.2497261774370208,0.12355737388134003,0.0872650146484375,0.03803751990199089
logit,38,0.5615616608442343,0.17634173055859803,0.12337273815348888,0.25774614848365096,1.5765466935139736
xgb,38,0.5847987373097301,0.2497261774370208,0.12393922358751297,0.07749384641647339,0.03571482375264168
logit,39,0.5871032205214107,0.140197152245345,0.08710599576419152,0.27490846867230134,1.136403926678782
xgb,39,0.638961439702009,0.17634173055859803,0.09321358054876328,0.06259948015213013,0.03228680044412613
logit,40,0.5931227951593607,0.15224534501642936,0.09069165449582496,0.18072024722282265,0.8774259748490773
xgb,40,0.6204778190429661,0.19879518072289157,0.09568450599908829,0.0750199556350708,0.03524944931268692
logit,41,0.5843811874823216,0.20920043811610076,0.13300844439714035,0.2956917327073799,1.4175737924373966
xgb,41,0.5642163471369673,0.2469879518072289,0.13546819984912872,0.1011815071105957,0.0417475663125515
logit,42,0.5692930673259301,0.1484118291347207,0.0823390521791287,0.2283465873561361,1.046256964926302
xgb,42,0.615270078820183,0.2004381161007667,0.09876564890146255,0.0784304141998291,0.03610142692923546
logit,43,0.5939652417319624,0.12267250821467689,0.08174021612264311,0.12654324576259646,0.7721312582041562
xgb,43,0.6225325070499799,0.20427163198247536,0.09172232449054718,0.05642879009246826,0.03020622953772545
logit,44,0.5862007741202373,0.10898138006571742,0.06799527751453313,0.13487752992803503,0.8308646206188792
xgb,44,0.6364181816623382,0.1829134720700986,0.08731361478567123,0.07293063402175903,0.03462803736329079
logit,45,0.5529669915228813,0.11883899233296824,0.07889268993008072,0.12267048200402664,0.7706862352124211
xgb,45,0.5989537989075133,0.20700985761226726,0.10271421074867249,0.10122859477996826,0.04099959135055542
logit,46,0.5653857315509709,0.1484118291347207,0.09932893702687881,0.18825126312300788,1.077861585762943
xgb,46,0.6196206786347958,0.1949616648411829,0.0985570102930069,0.07088273763656616,0.03467811644077301
logit,47,0.5480788422237162,0.2157721796276013,0.13571963767575668,0.43522204538936493,1.6699666633784112
xgb,47,0.6098260127420044,0.23001095290251916,0.12048044055700302,0.10027390718460083,0.04163700342178345
logit,48,0.5488637379403405,0.1456736035049288,0.08810167272189097,0.12224996377843167,0.9804854432029528
xgb,48,0.6190151701607383,0.19112814895947425,0.09088446944952011,0.07339423894882202,0.03479598090052605
logit,49,0.5750738671358898,0.20481927710843373,0.1329308732695508,0.35371007066972404,1.4067837296457273
xgb,49,0.600500325101112,0.20755750273822562,0.11524681746959686,0.1060987114906311,0.042405176907777786
logit,50,0.5627824736827283,0.16319824753559695,0.10812766324868704,0.27659692180002926,1.278482135567618
xgb,50,0.5942517715255506,0.21905805038335158,0.10958781838417053,0.08528637886047363,0.03762947767972946
logit,51,0.5812709922869608,0.07940854326396495,0.04775507937639317,0.05703353905893738,0.48127699565954263
xgb,51,0.6057313305635453,0.15826944140197152,0.07546406239271164,0.05282562971115112,0.029272936284542084
logit,52,0.5297176701944117,0.17250821467688937,0.12450628804732873,0.3246324311902663,1.9657846988204222
xgb,52,0.566428993876344,0.2469879518072289,0.11673109233379364,0.0798332691192627,0.03656534478068352
logit,53,0.5927566737564423,0.1829134720700986,0.12008447203249731,0.24714859044925797,1.2061454226523705
xgb,53,0.6076819372352814,0.21905805038335158,0.11339384317398071,0.11556088924407959,0.04447130486369133
logit,54,0.5738028503592031,0.16593647316538881,0.09825947916811074,0.18940674756839682,1.0074356434380123
xgb,54,0.6119100884201556,0.20481927710843373,0.09704239666461945,0.09129440784454346,0.0389118418097496
logit,55,0.5766987604525211,0.16812705366922234,0.10499969939644882,0.1421498840057116,1.1974009500065192
xgb,55,0.6300275876762801,0.21686746987951808,0.1140890121459961,0.1080290675163269,0.04358496889472008
logit,56,0.6015264446183215,0.18072289156626506,0.1276442424985542,0.3431512116879265,1.5251441977095788
xgb,56,0.6408422506547942,0.2343921139101862,0.11189207434654236,0.09929275512695312,0.040481969714164734
logit,57,0.5695636787976524,0.16976998904709747,0.10676964672962304,0.33666012021908764,1.6972331115201844
xgb,57,0.6378924631643911,0.19989047097480833,0.10633978247642517,0.08803457021713257,0.03804676607251167
logit,58,0.5599759510891194,0.11336254107338445,0.07824086970381254,0.12396164757810824,0.9987337093688368
xgb,58,0.609481932092439,0.19879518072289157,0.08833286911249161,0.0589483380317688,0.031069567427039146
logit,59,0.5677073575708151,0.15498357064622126,0.09621529946333945,0.16049929079524605,0.9730044268219881
xgb,59,0.5968929884690126,0.21412924424972618,0.10699815303087234,0.08274799585342407,0.03691143915057182
logit,60,0.5677759288034687,0.12431544359255203,0.07441491329216185,0.16834496370071172,1.04980997779317
xgb,60,0.6157133428598367,0.19715224534501644,0.09947714954614639,0.06588870286941528,0.03329935297369957
logit,61,0.5838975153948539,0.1976998904709748,0.12726077965421162,0.26359963372005346,1.3138588151151183
xgb,61,0.608851321649285,0.2316538882803943,0.11625848710536957,0.07786828279495239,0.03591068089008331
logit,62,0.5322817445011382,0.13581599123767799,0.08663091684354232,0.1611316517849577,0.9694301425987869
xgb,62,0.5990284925716539,0.21084337349397592,0.09970726817846298,0.07556402683258057,0.0357331708073616
logit,63,0.553847397170702,0.2059145673603505,0.12216170907773923,0.22624933071273556,1.175094975184407
xgb,63,0.5762946799743838,0.24589266155531217,0.12111129611730576,0.08351349830627441,0.03735313564538956
logit,64,0.5863599573388975,0.1254107338444688,0.08736210311563228,0.23797551635078906,1.2220652935507663
xgb,64,0.6117300889344398,0.19167579408543264,0.09180713444948196,0.05925720930099487,0.031244654208421707
logit,65,0.5933554475558641,0.19386637458926614,0.11627260076816018,0.27341319152545596,1.1257127957994073
xgb,65,0.6144539587029751,0.22727272727272727,0.11715482920408249,0.10892832279205322,0.04333280399441719
logit,66,0.5953256460083584,0.13143483023001096,0.08457605184682301,0.13485004044055315,0.7985602106657591
xgb,66,0.6080174464807652,0.2059145673603505,0.10202885419130325,0.0645066499710083,0.032637301832437515
logit,67,0.6083578536714385,0.2004381161007667,0.13830462005758343,0.339967698501744,1.8621520440472703
xgb,67,0.6107811120539656,0.23986856516976998,0.12245967239141464,0.08508354425430298,0.037499915808439255
logit,68,0.5620624757398653,0.19112814895947425,0.1364395222097037,0.2946183142765457,1.847536210516717
xgb,68,0.5983844127792288,0.2677984665936473,0.12188420444726944,0.06879949569702148,0.0335288941860199
logit,69,0.5465568057560651,0.1429353778751369,0.09079220528230747,0.12399301956735187,0.8425717057754768
xgb,69,0.6227161799945878,0.19058050383351588,0.08963557332754135,0.10217088460922241,0.04148893058300018
logit,70,0.5465898668860947,0.13964950711938665,0.08822799104705384,0.20526868799845632,1.0435805823079276
xgb,70,0.6026872576282435,0.2004381161007667,0.09771541506052017,0.07119578123092651,0.03424780070781708
logit,71,0.55725391805003,0.14676889375684557,0.09159754222673475,0.17895810617003993,0.9007354204234288
xgb,71,0.6009142014696285,0.19058050383351588,0.0934247374534607,0.09039008617401123,0.03905804827809334
logit,72,0.5837885361143866,0.16265060240963855,0.1052912358951912,0.2575775592236601,1.1533781779634649
xgb,72,0.6201827178452959,0.20646221248630886,0.10073404759168625,0.08104687929153442,0.03682422637939453
logit,73,0.6023921564305734,0.1171960569550931,0.08184222885718258,0.09834147944907534,0.7571622494515763
xgb,73,0.6290835087409954,0.1955093099671413,0.09562317281961441,0.056944847106933594,0.03064470924437046
logit,74,0.5803501785913264,0.10733844468784227,0.06884074269112048,0.20796641125722604,1.070230015080001
xgb,74,0.6034795002626523,0.16812705366922234,0.08392893522977829,0.0726919174194336,0.034363143146038055
